8 Homeward,12.52,-12.02,97.09
Abbe,63.98,-57.58,174.77
Abbot,10.4,5.56,54.74
[Abduh],0,14.7,39
Abel,137.35,-34.63,85.78
Abenezra,43.19,-20.99,11.89
Abetti,1.6,20.11,27.82
Abulfeda,62.23,-13.87,13.91
Abul Wáfa,54.18,0.96,116.63
Acosta,13.06,-5.65,60.14
Adams,63.27,-31.89,68.39
Aepinus,16.74,87.96,-109.69
Agatharchides,51.98,-19.85,-31.11
Agrippa,43.75,4.1,10.47
Airy,38.9,-18.14,5.61
Aitken,129.69,-16.44,172.96
Akis,2.28,20.01,-31.76
Alan,1.44,-10.93,-6.17
Al-Bakri,12.21,14.34,20.25
Albategnius,130.84,-11.24,4.01
Albert,0.1,38.32,-35.01
Al-Biruni,80.41,18.07,92.62
Alden,111.44,-23.51,111.11
Alder,82.12,-48.63,-177.88
Aldrin,2.8,1.41,22.09
Alekhin,74.82,-67.94,-131.85
Alexander,94.8,40.25,13.69
Alfraganus,20.52,-5.42,18.97
Alhazen,34.65,15.91,71.83
Aliacensis,79.65,-30.6,5.13
Al-Khwarizmi,56.25,7.02,107.01
Almanon,47.76,-16.85,15.14
Al-Marrakushi,8.57,-10.45,55.77
Aloha,2.55,29.79,-53.88
Alpetragius,40.02,-16.05,-4.51
Alphonsus,110.54,-13.39,-2.85
Alter,64.73,18.74,-107.8
Ameghino,9.2,3.3,57.04
Amici,52.03,-10.06,-172.23
Ammonius,8.55,-8.52,-0.83
Amontons,2.47,-5.34,46.78
Amundsen,103.39,-84.44,83.07
Anaxagoras,51.9,73.48,-10.17
Anaximander,68.71,66.97,-51.44
Anaximenes,81.12,72.49,-44.98
Anděl,32.93,-10.41,12.38
Anders,41.33,-41.31,-143.3
Anders' Earthrise,40.15,-11.73,100.47
Anderson,105.33,15.5,170.79
Andersson,13.42,-49.95,-95.46
Andronov,16.57,-22.68,146.11
Ango,0.87,20.48,-32.34
Angström,9.55,29.9,-41.67
Ann,2.12,25.11,-0.05
Annegrit,1.29,29.43,-25.64
Ansgarius,91.42,-12.92,79.72
Antoniadi,137.92,-69.3,-173.06
Anuchin,62.14,-48.85,101.66
Anville,10.26,1.84,49.51
Apianus,63.44,-26.96,7.87
Apollo,524.23,-35.69,-151.48
Apollonius,50.66,4.51,60.96
Appleton,64.59,37.05,158.17
Arago,25.51,6.15,21.43
Aratus,10.23,23.58,4.51
Archimedes,81.04,29.72,-3.99
Archytas,31.95,58.87,4.99
Argelander,33.72,-16.55,5.8
Ariadaeus,10.4,4.55,17.28
[Ariosto],0,-3.6,95.6
Aristarchus,39.99,23.73,-47.49
Aristillus,54.37,33.88,1.21
Aristoteles,87.57,50.24,17.32
Armiński,26.76,-16.36,154.22
Armstrong,4.21,1.35,24.94
Arnold,93.13,66.98,35.83
Arrhenius,40.93,-55.58,-91.45
Artamonov,62.45,25.44,103.79
Artem'ev,66.39,10.4,-145.22
Artemis,2.28,25.03,-25.36
Artsimovich,7.96,27.61,-36.63
Aryabhata,21.89,6.2,35.17
Arzachel,96.99,-18.26,-1.93
Asada,12.37,7.25,49.9
Asclepi,40.56,-55.19,25.52
Ashbrook,157.68,-81.1,-110.58
Aston,44.48,32.77,-87.68
Atlas,88.12,46.74,44.38
